commodity,rev_side_label,rev_source,horizon_obs,n_state_obs,n_end_within_horizon_obs,p_end_within_horizon_obs,p_survive_beyond_horizon_obs,duration_unit,duration_definition,hist_n_episodes,hist_n_ended,hist_volume_divergence_rate,hist_duration_reliability,survival_sample_reliability
MA,UP,FastREV,1,48,11,0.22916666666666666,0.7708333333333334,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
MA,UP,FastREV,2,48,20,0.4166666666666667,0.5833333333333333,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
MA,UP,FastREV,3,48,27,0.5625,0.4375,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
MA,UP,FastREV,5,48,35,0.7291666666666666,0.27083333333333337,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
MA,UP,FastREV,10,48,45,0.9375,0.0625,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
MA,UP,FastREV,20,48,48,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",11,11,0.9090909090909091,LOW,MEDIUM
SA,UP,RAREV,1,687,26,0.03784570596797671,0.9621542940320232,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,UP,RAREV,2,686,45,0.06559766763848396,0.934402332361516,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,UP,RAREV,3,685,64,0.09343065693430656,0.9065693430656935,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,UP,RAREV,5,683,97,0.14202049780380674,0.8579795021961932,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,UP,RAREV,10,678,167,0.24631268436578171,0.7536873156342183,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,UP,RAREV,20,672,269,0.40029761904761907,0.5997023809523809,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",27,26,0.7407407407407407,MEDIUM,HIGH
SA,DOWN,RAREV,1,674,23,0.03412462908011869,0.9658753709198813,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SA,DOWN,RAREV,2,674,43,0.06379821958456973,0.9362017804154302,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SA,DOWN,RAREV,3,674,60,0.08902077151335312,0.9109792284866469,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SA,DOWN,RAREV,5,674,90,0.13353115727002968,0.8664688427299703,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SA,DOWN,RAREV,10,674,149,0.22106824925816024,0.7789317507418397,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SA,DOWN,RAREV,20,674,250,0.37091988130563797,0.629080118694362,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",23,23,0.6956521739130435,MEDIUM,HIGH
SP,UP,FastREV,1,30,17,0.5666666666666667,0.43333333333333335,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,UP,FastREV,2,30,27,0.9,0.09999999999999998,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,UP,FastREV,3,30,29,0.9666666666666667,0.033333333333333326,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,UP,FastREV,5,30,30,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,UP,FastREV,10,30,30,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,UP,FastREV,20,30,30,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",17,17,0.7647058823529411,LOW,MEDIUM
SP,DOWN,FastREV,1,17,10,0.5882352941176471,0.4117647058823529,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SP,DOWN,FastREV,2,17,16,0.9411764705882353,0.05882352941176472,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SP,DOWN,FastREV,3,17,17,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SP,DOWN,FastREV,5,17,17,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SP,DOWN,FastREV,10,17,17,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SP,DOWN,FastREV,20,17,17,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",10,10,0.2,LOW,LOW
SR,UP,TSREV,1,164,123,0.75,0.25,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,UP,TSREV,2,164,152,0.926829268292683,0.07317073170731703,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,UP,TSREV,3,164,162,0.9878048780487805,0.012195121951219523,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,UP,TSREV,5,164,164,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,UP,TSREV,10,164,164,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,UP,TSREV,20,164,164,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",123,123,0.3983739837398374,HIGH,HIGH
SR,DOWN,TSREV,1,140,107,0.7642857142857142,0.23571428571428577,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
SR,DOWN,TSREV,2,140,132,0.9428571428571428,0.05714285714285716,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
SR,DOWN,TSREV,3,140,140,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
SR,DOWN,TSREV,5,140,140,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
SR,DOWN,TSREV,10,140,140,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
SR,DOWN,TSREV,20,140,140,1.0,0.0,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",108,107,0.8240740740740741,HIGH,HIGH
V,UP,TSREV,1,383,30,0.0783289817232376,0.9216710182767625,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,UP,TSREV,2,382,56,0.14659685863874344,0.8534031413612566,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,UP,TSREV,3,381,78,0.2047244094488189,0.7952755905511811,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,UP,TSREV,5,379,116,0.30606860158311344,0.6939313984168866,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,UP,TSREV,10,374,193,0.516042780748663,0.48395721925133695,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,UP,TSREV,20,370,279,0.754054054054054,0.245945945945946,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",31,30,0.7741935483870968,MEDIUM,HIGH
V,DOWN,TSREV,1,343,34,0.09912536443148688,0.9008746355685131,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
V,DOWN,TSREV,2,343,62,0.18075801749271136,0.8192419825072886,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
V,DOWN,TSREV,3,343,88,0.2565597667638484,0.7434402332361516,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
V,DOWN,TSREV,5,343,124,0.36151603498542273,0.6384839650145773,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
V,DOWN,TSREV,10,343,187,0.5451895043731778,0.4548104956268222,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
V,DOWN,TSREV,20,343,266,0.7755102040816326,0.22448979591836737,validated_active_observations,"Duration / remaining-life metrics count validated-active observations within completed reversal episodes, not calendar days or guaranteed holding periods.",34,34,0.6176470588235294,MEDIUM,HIGH
